"PlantID_final","Easting","Northing","Altitude"
"M1464",241.110833656974,-377.749427040108,1140.83
"M1465",559.907740731025,-434.70366443973,1130.43
"M1466",207.121078874974,-365.45688004978,1143.84
"M1468",559.04864855198,-434.014781000093,1131
"M1469",556.547230662021,-433.434788689949,1130.09
"M1470",238.821810920024,-378.685224570334,1140.33
"M1473",240.85849444801,-377.704496460035,1141.76
"M1474",224.318982598023,-366.208365879953,1147.19
"M1475",-943.958684132027,-262.250856149942,1181.48
"M1476",234.90045335202,-376.737160639837,1139.3
"M1477",211.866566369019,-370.175687120296,1140.13
"M1478",240.654593452986,-377.554593199864,1141.23
"K0508",13.9960866050096,-433.334900950082,1129.29
"M1480",234.280283003987,-378.028615159914,1141.31
"M1481",249.35255667998,-367.182333540171,1143.01
"M1482",234.963788586028,-376.603476430289,1142.23
"M1483",322.611480424996,-369.839473229833,1136.51
"M1484",115.371303397988,-408.78911282029,1136.51
"M1486",-1338.92680228502,-202.219763619825,1194.51
"M1489",565.94588496798,-427.437273129821,1135.36
"M1490",-1598.55055810499,-51.4489157898352,1217.96
"M1491",247.820175461005,-380.894797840156,1136.05
"M1492",559.444245490013,-435.318323479965,1130.48
"M1494",281.226301443006,-377.345169739798,1140.69
"M1496",-1074.08851551497,-210.846324680373,1180.6
"M1497",565.908432030992,-428.411883049645,1135.36
"M1498",560.529688368028,-434.350569060072,1129.82
"M1499",-1595.28442824801,-54.804426940158,1216.43
"M1500",260.24542276602,-383.655608760193,1137.16
"M1501",362.080493801972,-75.775122740306,1303.58
"M1503",787.532164009986,-75.2739826096222,1282.41
"K1664",-659.136200227018,391.465881790034,1417.18
"M1506",790.049870412971,-71.9284753501415,1282.17
"M1507",-1629.15612455702,-49.5225461600348,1219.87
"M1513",-153.78397922701,340.104574839585,1357.01
"M1514",-157.856709108979,256.100870830007,1361.67
"M1516",702.608414937975,-74.5360915102065,1288.4
"M1518",357.787833841983,-71.9030633503571,1305.6
"M1519",120.806244731008,44.491960179992,1315.9
"M1521",-459.786616420024,429.294655569829,1405.81
"M1523",786.973732313025,-87.1780248098075,1277.18
"M1526",-151.950852247013,485.815288409591,1371.18
"M1528",-157.958210527024,254.542836680077,1362.76
"M1529",-1618.49279900501,-51.1000342098996,1215.38
"J1337",-139.826734045986,330.231371450238,1362.72
"M1533",-142.993806843995,464.719388370402,1365.47
"M1535",789.88920123101,-72.808480380103,1281.23
"M1537",820.106182602991,-54.6901263501495,1280.47
"M1538",-140.062926911982,330.795853770338,1360.67
"M1539",-138.815692532982,335.494123400189,1361.56
"M1542",-211.993234721012,575.936410170048,1376.55
