"","id","Ros","Sulf"
"948","M0729","R/R","S/+"
"949","M0730","R/R","S/+"
"950","M0731","R/R","S/+"
"951","M0732","R/R","S/+"
"952","M0735","R/R","S/+"
"953","K1632","R/r","s/s"
"954","M0738","R/R","S/+"
"955","M0739","R/R","S/+"
"956","M0740","R/R","S/+"
"957","M0741","R/R","S/+"
"958","K1173","R/R","S/+"
"959","M0746","R/R","S/+"
"960","M0747","r/r","s/s"
"961","M0748","R/R","S/+"
"962","M0752","R/R","S/+"
"963","K0595","R/R","S/+"
"964","M0759","R/r","S/+"
"965","M0760","R/r","S/+"
"966","M0761","R/R","S/+"
"967","M0763","R/r","S/+"
"968","M0764","R/R","S/+"
"969","M0765","R/R","S/+"
"970","M0766","R/R","S/+"
"971","M0767","R/R","S/+"
"972","M0769","R/R","S/+"
"973","M0771","R/r","S/+"
"974","M0774","R/r","S/+"
"975","M0775","R/R","S/+"
"976","M0776","R/R","S/+"
"977","M0777","R/R","S/+"
"978","M0778","R/R","S/+"
"979","M0780","R/R","S/+"
"980","M0781","R/r","S/+"
"981","M0782","R/R","S/+"
"982","M0785","R/R","S/+"
"983","M0786","R/R","S/+"
"984","M0787","R/R","S/+"
"985","M0788","R/R","S/+"
"986","J0453","R/R","S/+"
"987","M0791","R/R","S/+"
"988","M0792","r/r","s/s"
"989","M0793","r/r","s/s"
"990","M0794","R/R","s/s"
"991","M0796","R/R","S/+"
"992","M0798","r/r","S/+"
"993","M0799","R/R","S/+"
"994","M0801","r/r","s/s"
"995","M0804","R/R","S/+"
"996","M0805","R/R","S/+"
"997","M0807","R/R","S/+"
"998","M0808","R/R","S/+"
"999","M0810","R/r","S/+"
"1000","M0813","r/r","s/s"
"1001","M0814","R/R","S/+"
"1002","M0815","R/r","S/+"
"1003","M0816","R/R","s/s"
"1004","M0817","r/r","s/s"
"1005","M0820","R/R","S/+"
"1006","M0822","r/r","s/s"
"1007","M0824","R/R","S/+"
"1008","M0827","R/R","S/+"
"1009","M0828","R/R","S/+"
"1010","M0829","R/R","S/+"
"1011","M0830","R/r","S/+"
"1012","M0832","r/r","s/s"
"1013","M0835","r/r","s/s"
"1014","M0839","R/r","s/s"
"1015","M0840","R/R","S/+"
"1016","M0841","R/R","S/+"
"1017","M0842","R/r","S/+"
"1018","M0844","r/r","s/s"
"1019","M0848","r/r","s/s"
"1020","M0849","R/R","S/+"
"1021","M0850","r/r","s/s"
"1022","M0851","R/r","s/s"
"1023","M0852","r/r","s/s"
"1024","M0853","R/R","S/+"
"1025","M0854","R/R","S/+"
"1026","M0856","r/r","s/s"
"1027","M0857","R/R","S/+"
"1028","M0859","R/R","S/+"
"1029","M0860","R/R","s/s"
"1030","M0861","r/r","S/+"
"1031","M0866","R/R","S/+"
"1032","M0867","R/R","s/s"
"1033","M0873","R/R","S/+"
"1034","M0877","R/R","S/+"
"1035","M0878","R/R","S/+"
"1036","M0880","r/r","S/+"
"1037","M0883","R/r","s/s"
"1038","M0884","R/r","s/s"
"1039","M0888","r/r","s/s"
"1040","M0897","r/r","s/s"
"1041","M0898","r/r","s/s"
"1042","M0899","r/r","s/s"
"1043","M0900","R/R","S/+"
"1044","M0921","r/r","s/s"
"1045","M0922","r/r","s/s"
"1046","M0902","r/r","s/s"
"1047","M0927","R/r","s/s"
"1048","M0931","r/r","s/s"
"1049","M0932","R/r","s/s"
"1050","M0933","r/r","s/s"
"1051","M0935","R/r","S/+"
"1052","M0936","R/r","s/s"
"1053","M0938","r/r","s/s"
"1054","M0939","R/r","s/s"
"1055","M0944","r/r","s/s"
"1056","M0948","R/r","S/+"
"1057","M0949","r/r","s/s"
"1058","M0950","r/r","s/s"
"1059","M0952","r/r","s/s"
"1060","M0953","r/r","s/s"
"1061","M0956","r/r","s/s"
"1062","M0957","r/r","s/s"
"1063","M0961","r/r","s/s"
"1064","M0970","r/r","s/s"
"1065","M0971","r/r","s/s"
"1066","M0972","r/r","s/s"
"1067","M0973","r/r","s/s"
"1068","M0975","R/r","s/s"
"1069","M0976","r/r","s/s"
"1070","M0980","r/r","s/s"
"1071","M0982","r/r","s/s"
