iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
1240		1.252	-3256.428	-11.246	-3245.181	0.151	0.779	56.982	0.674
1250		1.262	-3256.428	-11.246	-3245.181	0.151	0.779	56.982	0.674
1260		1.273	-3256.36	-11.352	-3245.008	0.186	0.77	56.883	0.682
1270		1.283	-3258.588	-10.949	-3247.639	0.102	0.742	56.825	0.711
1280		1.293	-3261.115	-10.487	-3250.628	0.099	0.757	56.134	0.786
1290		1.303	-3258.656	-11.635	-3247.021	0.191	0.787	52.27	0.693
1300		1.313	-3256.92	-11.821	-3245.099	0.222	0.718	50.442	0.717
1310		1.324	-3257.273	-12.244	-3245.029	0.212	0.682	46.487	0.693
1320		1.334	-3257.649	-12.925	-3244.724	0.26	0.684	46.455	0.668
1330		1.344	-3257.624	-13.751	-3243.873	0.264	0.686	39.446	0.656
1340		1.354	-3255.752	-14.678	-3241.075	0.279	0.685	35.815	0.619
1350		1.364	-3255.143	-14.952	-3240.19	0.259	0.689	33.514	0.596
1360		1.375	-3256.71	-14.623	-3242.087	0.229	0.659	33.339	0.599
1370		1.385	-3256.71	-14.623	-3242.087	0.229	0.659	33.339	0.599
1380		1.395	-3255.21	-14.244	-3240.966	0.215	0.727	37.151	0.58
1390		1.405	-3254.39	-14.103	-3240.287	0.176	0.782	36.284	0.578
1400		1.416	-3254.485	-13.682	-3240.803	0.158	0.797	37.446	0.598
1410		1.426	-3253.71	-14.538	-3239.172	0.175	0.769	32.153	0.585
1420		1.436	-3254.326	-14.22	-3240.106	0.187	0.809	33.947	0.602
1430		1.446	-3253.882	-14.697	-3239.185	0.203	0.764	33.461	0.571
1440		1.456	-3255.435	-17.44	-3237.995	0.265	0.678	23.17	0.525
1450		1.467	-3256.641	-16.445	-3240.196	0.244	0.652	25.443	0.554
1460		1.477	-3255.672	-15.527	-3240.145	0.184	0.671	27.429	0.561
1470		1.487	-3255.738	-15.45	-3240.289	0.214	0.721	27.146	0.595
1480		1.497	-3252.68	-18.035	-3234.645	0.234	0.764	20.351	0.5
1490		1.508	-3251.332	-18.477	-3232.855	0.217	0.79	18.794	0.484
1500		1.518	-3250.854	-18.266	-3232.588	0.179	0.799	18.624	0.482
1510		1.528	-3253.757	-16.886	-3236.872	0.194	0.776	21.284	0.55
1520		1.538	-3256.836	-18.467	-3238.369	0.24	0.692	18.939	0.496
1530		1.548	-3254.667	-17.908	-3236.758	0.333	0.737	24.092	0.549
1540		1.559	-3255.251	-17.034	-3238.217	0.338	0.762	27.679	0.578
1550		1.569	-3254.268	-17.226	-3237.042	0.291	0.777	24.152	0.557
1560		1.579	-3254.262	-18.755	-3235.507	0.385	0.775	25.245	0.531
1570		1.589	-3253.601	-19.111	-3234.491	0.367	0.788	22.611	0.517
1580		1.6	-3253.307	-17.998	-3235.309	0.281	0.778	22.201	0.513
1590		1.61	-3253.793	-16.102	-3237.691	0.193	0.745	24.291	0.565
1600		1.62	-3253.423	-16.017	-3237.406	0.142	0.78	24.133	0.555
1610		1.63	-3257.706	-14.612	-3243.095	0.139	0.693	28.46	0.616
1620		1.64	-3253.598	-14.965	-3238.633	0.11	0.765	28.185	0.587
1630		1.651	-3253.598	-14.965	-3238.633	0.11	0.765	28.185	0.587
1640		1.661	-3252.454	-17.16	-3235.294	0.113	0.78	21.362	0.505
1650		1.671	-3253.955	-17.357	-3236.599	0.112	0.754	19.998	0.513
1660		1.681	-3255.176	-16.457	-3238.719	0.115	0.736	23.201	0.53
1670		1.692	-3254.366	-15.51	-3238.856	0.145	0.732	25.907	0.571
1680		1.702	-3256.482	-15.857	-3240.625	0.142	0.708	25.193	0.55
1690		1.712	-3256.394	-15.587	-3240.807	0.182	0.709	27.031	0.561
1700		1.722	-3253.524	-15.986	-3237.537	0.164	0.756	24.85	0.551
1710		1.732	-3252.116	-16.046	-3236.07	0.142	0.792	25.915	0.525
1720		1.742	-3252.565	-16.224	-3236.341	0.147	0.801	24.306	0.536
1730		1.752	-3252.961	-15.896	-3237.065	0.111	0.795	25.327	0.546
1740		1.762	-3253.142	-15.565	-3237.577	0.084	0.809	27.665	0.553
1750		1.772	-3255.493	-16.042	-3239.451	0.091	0.826	26.338	0.527
1760		1.782	-3255.66	-16.185	-3239.475	0.053	0.775	28.378	0.528
1770		1.793	-3254.547	-15.839	-3238.709	0.05	0.781	29.166	0.554
1780		1.803	-3256.046	-14.249	-3241.797	0.096	0.726	32.696	0.598
1790		1.813	-3254.964	-13.336	-3241.628	0.091	0.763	37.216	0.639
1800		1.823	-3254.686	-13.633	-3241.053	0.121	0.81	36.578	0.607
