"PlantID_final","Easting","Northing","Altitude"
"M1898",607.658897986694,60.2317621307448,1304.4
"M1900",673.344863656734,83.2570830406621,1303.08
"M1902",672.9172248377,79.4049500701949,1301.69
"M1957",-1528.99808515731,55.8245737403631,1207.06
"M1970",-1532.50569855928,34.7140016704798,1229.03
"M1976",-1531.69432289927,48.3730625705793,1209.97
"M1981",-1135.91339740326,-58.339236469008,1194.36
"L1181",-1533.81368370727,36.3709651306272,1221.8
"M1997",-1530.25181468227,56.6014154506847,1197.8
"M2024",627.117847979709,66.7733873706311,1306.88
"M2026",535.592597570736,87.6258946806192,1307.06
"M2028",676.912835101713,83.6905332803726,1302.01
"M2029",531.795627654705,87.8868311708793,1308.07
"M2030",560.043850213697,77.9811874004081,1311.14
"M2033",476.940172419709,87.833929640241,1309.6
"M2035",532.3679592837,86.8312239805236,1310.39
"M2037",535.786241357739,89.3706100601703,1307.72
"M2047",442.743312275736,75.3245466509834,1311.97
"M3089",-2562.00384163827,157.068329850212,1512.68
"M3090",-2586.22055426228,133.699342690408,1515.17
"M3091",-2689.34705223929,110.45664363075,1518.05
"M3092",-2713.59737042326,113.280902470462,1523
"M3093",-2747.91661291727,110.742916960269,1519.94
"M3094",-2747.91661291727,110.742916960269,1519.94
"M3095",-2747.91661291727,110.742916960269,1519.94
"M3096",-2747.91661291727,110.742916960269,1519.94
"M3097",-2757.73181913927,105.740875830874,1523.51
"M3099",-2768.27464562625,98.3972236709669,1525.92
"M3100",-2774.41628101829,96.4542906908318,1522.98
"M3101",-2784.10563675727,82.6523090209812,1527.25
"M3102",-2786.0551458713,80.2600679807365,1527.31
"M3103",-2785.21577041427,76.9379481710494,1534.8
"M3104",-2764.73439003731,104.778232670389,1526.22
"M3105",-2769.97811456531,102.74964944087,1521.92
"M0066",492.295215687715,-224.764517269097,1136.72
"M1811",536.793443297734,-237.89097593911,1128.16
"M1812",506.848184838716,-233.387243579142,1132.48
"M0233",-54.2546952582779,-382.31560756918,1150.87
"M1844",630.696441637701,68.5937078902498,1306.1
"M1873",404.709942824731,-224.092959559523,1144.08
"M1964",482.820316212717,-230.328864759766,1136.86
"M1966",-610.301865207264,-179.503446969204,1166.92
"L0933",-397.787915590277,-283.934158589691,1160.02
"M1969",-1393.93634097226,94.8834496103227,1216.38
"M1971",537.280514807731,-237.696353019215,1130.1
"M1973",433.211494581716,-232.205046059564,1140.63
"M1975",233.440342801739,-286.009442009032,1140.02
"M1979",446.193104403734,-244.615443119779,1133.05
"M1991",532.729186165729,-236.237925349735,1129.16
"M1993",440.735006271745,-231.796768469736,1138.61
"K1200",688.557883577712,-229.201489469036,1131.54
"M2000",438.228000795702,-233.015603719279,1139.89
"M2001",298.977422937693,-267.124735079706,1140.54
"M2002",531.599780949706,-236.909778399393,1132.03
"M2003",404.302992268698,-217.840905099176,1143.44
"M2004",-69.7970138883102,-394.589362909086,1146.75
"M2005",242.005542963743,-282.703184309416,1146.1
"M2006",544.347463100741,-236.977641909383,1131.19
"M2007",575.351611674705,-228.036791999824,1138.9
"M2008",486.087177084701,-226.17875446938,1136.61
"M1455",440.147214298719,-231.696013129316,1141.31
"M2010",487.099034572719,-218.937058779411,1137.74
"M2012",432.408560977725,-221.834321859293,1147.91
"M2015",404.197474923742,-215.592119649053,1145.84
"M0067",431.917784148711,-214.242104699835,1147.15
"M2019",433.732109561737,-230.214012179524,1139.26
"M2020",-397.912878978299,-283.899475919083,1157.5
"M2021",413.224619517743,-222.720431789756,1143.87
"M2022",486.105162445689,-214.416585539468,1132.17
"M2023",433.316405621707,-231.496575459838,1140.21
"K1085",626.114657532715,67.2228675009683,1308.53
"M2055",59.3809991457383,615.894705770537,1351.16
"M2058",952.054604107689,75.2371519207954,1283.79
"M2059",631.143185297726,68.0702821006998,1303.82
"M1914",625.460023949738,68.7013436304405,1308.06
"M2062",559.441103295714,77.1459474805743,1308.17
"M2064",250.747387665731,186.626468060538,1323.09
"M2066",-138.922274993267,108.430122670718,1340
"M2069",577.033637301705,68.2339690905064,1302.9
"M2070",59.218903889705,615.718790140934,1351.46
"M2072",537.332177011704,88.1478957608342,1306.21
"L1593",633.910737043712,72.3913139309734,1305.59
"M2075",615.092673582723,65.0953843705356,1305.56
"M1665",266.685487379727,188.583424001001,1319.21
"L0009",195.979854242702,-305.6105144592,1141.15
"L0021",-63.475567453308,-385.009143579751,1153.1
"K0314",259.380303725717,-273.960027259775,1142.87
"L0039",195.456067275722,-304.479893529788,1140.02
"L0055",541.60253732471,-237.055684429593,1131.23
"L0056",-102.317075792293,-416.915677079,1151
"L0057",403.002355892735,-232.791853279807,1133.75
"L0060",-114.561073732271,-422.241379929706,1152.39
"L0064",-78.3321336862864,-395.637933739461,1147.16
"L0076",548.398625515692,-238.050865859725,1136.34
"L0078",467.621363110724,-243.776849918999,1126.21
"L0079",-70.4940477792989,-390.545110659674,1147.82
"L0098",-121.772623998288,-424.866800369695,1151.83
"K0840",-14.0067941942834,-371.695695789531,1149.43
"L0105",443.064919617726,-243.998570458964,1134.12
"L0106",68.7180519477115,-330.89361097943,1145.13
"K1755",311.526719711721,-262.771096289158,1142.31
"L0112",-149.783376294305,-428.370286758989,1206.028
"L0114",517.236993060738,-234.640081529506,1131.85
"L0120",450.874815119721,-241.145850599743,1135.51
"L0124",460.866326048737,-241.448329759762,1131.44
"K0032",494.671002698713,-233.503162589855,1122.32
"K0760",624.730274931702,-217.734020359814,1137.2
"L0137",63.9445164726931,-333.099320439622,1144.99
"L0143",307.372808633721,-261.379019029438,1138.58
"L0146",623.618726608693,-123.220034829341,1187.608
"K0023",616.588144372741,-218.594447559677,1137.04
"L0150",622.672256626713,-215.283143059351,1133.04
"L0159",110.416071663727,-321.389272459783,1145.08
"L0168",85.6312489177217,-321.643911579624,1148.66
"L0169",322.144176352711,-248.653001349419,1138.8
"L0176",546.107694134698,-238.775683909655,1132.66
"L0188",245.207307114732,-277.641869439743,1143.83
"L0191",270.239399463695,-269.140590528958,1138.49
"L0199",255.564941629709,-275.406688779593,1141.87
"L0214",493.661484590732,-235.090243909508,1131.21
"L0215",131.534294975689,-319.352324389853,1150.04
"L0220",496.049123504723,-234.514184869826,1134.12
"L0221",312.487518136739,-261.706555319019,1136.57
"J0314",156.186914124701,-314.866207069717,1159.73
"K0451",310.285457283724,-261.330649109557,1138.86
"K1762",311.113027755695,-259.982597679831,1137.36
"L0230",110.152573958738,-317.777294659056,1144.37
"L0234",-190.453454149305,-461.407982459292,1153.98
"L0243",-152.633336655272,-435.257592289709,1153.26
"L0250",-126.28398590727,-425.539424699731,1150.62
"L0258",-67.8583867392736,-388.57493928913,1151.35
"L0260",-47.0627883662819,45.0152899706736,1339.46
"K2005",-86.2043809292954,-402.782574169338,1145.58
"L0263",-87.1727538722917,-403.990233729593,1148.02
"L0284",408.774348397739,-220.935421079397,1141.6
"L0294",265.430985058716,189.805258150212,1319.85
"L0314",-172.816490849305,856.166773780249,1392.81
"L0320",11.8384730257094,717.800775290467,1372.45
"L0323",36.2808922267286,399.876645511016,1363.07
"L0325",-170.546629990276,852.027593870647,1392.6
"L0326",59.8612548647216,475.461451130919,1411.915
"L0329",59.1654897407279,474.266353520565,1362.21
"J0493",13.1552338817273,719.448852090165,1374.92
"K1847",482.898912928707,85.8516234010458,1310.48
"K1899",483.73621570674,83.6126880906522,1313.25
"L0395",-161.251548047294,924.624978390522,1388.75
"L0401",637.620324627729,60.5500244107097,1306.72
"L0407",-160.230387965275,923.150193630718,1389.69
"L0412",218.071830564702,68.9476282605901,1322.12
"L0413",224.601941173722,88.613580130972,1322.9
