"id","flower_colour","rosea","sulfurea"
"M2070","Ye","r/r","s/s"
"M2072","FR","R/R","S/+"
"L1593","FR","R/R","S/+"
"M2075",NA,NA,NA
"M1665","WR","R/r","S/+"
"L0009","WO","R/r","s/s"
"L0021","WR","R/r","S/+"
"K0314","WO","R/r","s/s"
"L0039","WR","R/r","S/+"
"L0055","FR","R/R","S/+"
"L0056","Ye","r/r","s/s"
"L0057","FR","R/R","S/+"
"L0060","WR","R/r","S/+"
"L0064","WO","R/r","s/s"
"L0076","FR","R/R","S/+"
"L0078","WR","R/r","S/+"
"L0079","Ye","r/r","s/s"
"L0098","WR","R/r","S/+"
"K0840","WR","R/r","S/+"
"L0105","FR","R/R","S/+"
"L0106","WR","R/r","S/+"
"K1755","FO","R/R","s/s"
"L0112","FR","R/R","S/+"
"L0114","Wh","r/r","S/+"
"L0120","FR","R/R","S/+"
"L0124","WR","R/r","S/+"
"K0032","FR","R/R","S/+"
"K0760","FR","R/R","S/+"
"L0137","WR","R/r","S/+"
"L0143","FO","R/R","s/s"
"L0146","FR","R/R","S/+"
"K0023","FR","R/R","S/+"
"L0150","FR","R/R","S/+"
"L0159","WR","R/r","S/+"
"L0168","Ye","r/r","s/s"
"L0169","FR","R/R","S/+"
"L0176","WR","R/r","S/+"
"L0188","FR","R/R","S/+"
"L0191","FR","R/R","S/+"
"L0199","FR","R/R","S/+"
"L0214","WR","R/r","S/+"
"L0215","Wh","r/r","S/+"
"L0220","FR","R/R","S/+"
"L0221","WR","R/r","S/+"
"J0314","Wh","r/r","S/+"
"K0451","FR","R/R","S/+"
"K1762","FR","R/R","S/+"
"L0230","WO","R/r","s/s"
"L0234","WO","R/r","s/s"
"L0243","Ye","r/r","s/s"
"L0250","Ye","r/r","s/s"
"L0258","Ye","r/r","s/s"
"L0260","Wh","r/r","S/+"
"K2005","Ye","r/r","s/s"
"L0263","WR","R/r","S/+"
"L0284","FR","R/R","S/+"
"L0294","FO","R/R","s/s"
"L0314","WO","R/r","s/s"
"L0320","WR","R/r","S/+"
"L0323","Ye","r/r","s/s"
"L0325","WR","R/r","S/+"
"L0326","FO","R/R","s/s"
"L0329","Ye","r/r","s/s"
"J0493","WR","R/r","S/+"
"K1847","FR","R/R","S/+"
"K1899","FR","R/R","S/+"
"L0395","Ye","r/r","s/s"
"L0401","FR","R/R","S/+"
"L0407","Ye","r/r","s/s"
"L0412","FR","R/R","S/+"
"L0413","FR","R/R","S/+"
"L0414","WO","R/r","s/s"
"L0435","WO","R/r","s/s"
"L0460","Ye","r/r","s/s"
"L0461","Wh","r/r","S/+"
"L0465","Ye","r/r","s/s"
"L0474","Ye","r/r","s/s"
"L0475","Ye","r/r","s/s"
"L0481","Ye","r/r","s/s"
"L0485","Wh","r/r","S/+"
"L0494","FR","R/R","S/+"
"L0497","FR","R/R","S/+"
"L0499","WR","R/r","S/+"
"L0501","WR","R/r","S/+"
"L0503","Wh","r/r","S/+"
"L0536","FR","R/R","S/+"
"L0537",NA,NA,NA
"L0538","FR","R/R","S/+"
"L0539","FR","R/R","S/+"
"L0540","FR","R/R","S/+"
"K1892","FR","R/R","S/+"
"L0565","Ye","r/r","s/s"
"L0572","FO","R/R","s/s"
"L0573",NA,NA,NA
"L0584","WR","R/r","S/+"
"L0588","FR","R/R","S/+"
"L0653","FR","R/R","S/+"
"L0662","FR","R/R","S/+"
"K0634","FR","R/R","S/+"
"L0677","WO","R/r","s/s"
"L0682","FR","R/R","S/+"
"L0689","Ye","r/r","s/s"
"L0694","WR","R/r","S/+"
"L0695","FR","R/R","S/+"
"L0696","FR","R/R","S/+"
"L0699","WR","R/r","S/+"
"J0920","FR","R/R","S/+"
"K1092","FR","R/R","S/+"
"L0705","FR","R/R","S/+"
"L0708","FR","R/R","S/+"
"L0713","FR","R/R","S/+"
"L0714","FR","R/R","S/+"
"K0774","Wh","r/r","S/+"
"L0758",NA,NA,NA
"K0776","FR","R/R","S/+"
"L0770","Wh","r/r","S/+"
"L0786","FR","R/R","S/+"
"L0795","FR","R/R","S/+"
"L0800","FR","R/R","S/+"
"L0814","FO","R/R","s/s"
"L0815","Ye","r/r","s/s"
"K0532","Ye","r/r","s/s"
"L0823","WR","R/r","S/+"
"L0859","FR","R/R","S/+"
"L0888","FR","R/R","S/+"
"L0891","Ye","r/r","s/s"
"L0895","Ye","r/r","s/s"
"L0904","Ye","r/r","s/s"
"L0911","FR","R/R","S/+"
"K1738","Wh","r/r","S/+"
"L0932","Ye","r/r","s/s"
"L0935","WO","R/r","s/s"
"L0951","Ye","r/r","s/s"
"L0954","Ye","r/r","s/s"
"L0955","Ye","r/r","s/s"
"L0966","Ye","r/r","s/s"
"L0967","Ye","r/r","s/s"
"L0973","Ye","r/r","s/s"
"L0988","WO","R/r","s/s"
"L0993","Ye","r/r","s/s"
"L0996","FO","R/R","s/s"
"L0998","Ye","r/r","s/s"
"L1007","Ye","r/r","s/s"
"L1009","Ye","r/r","s/s"
"L1014","FR","R/R","S/+"
"L1018","FR","R/R","S/+"
"L1024","Wh","r/r","S/+"
"L1025","Wh","r/r","S/+"
"L1026","FR","R/R","S/+"
"L1034","FR","R/R","S/+"
"L1038","FO","R/R","s/s"
"L1039","Wh","r/r","S/+"
"L1040","FR","R/R","S/+"
"L1042","FR","R/R","S/+"
"L1044","FR","R/R","S/+"
"L1045","WO","R/r","s/s"
"L1054","WR","R/r","S/+"
"L1058","WO","R/r","s/s"
"L1068","WR","R/r","S/+"
"L1077","FR","R/R","S/+"
"L1080","Ye","r/r","s/s"
"L1086","WR","R/r","S/+"
"L1088","WO","R/r","s/s"
"L1089","WR","R/r","S/+"
"L1104","WR","R/r","S/+"
"L1117","Ye","r/r","s/s"
"L1124","Ye","r/r","s/s"
"L1208","Ye","r/r","s/s"
"L1216","Ye","r/r","s/s"
"L1221","Ye","r/r","s/s"
"L1223","Ye","r/r","s/s"
"L1228","FR","R/R","S/+"
"L1244","FO","R/R","s/s"
"L1262","FO","R/R","s/s"
"L1264","Wh","r/r","S/+"
"L1298","WO","R/r","s/s"
"L1310","WR","R/r","S/+"
"L1312","Ye","r/r","s/s"
"L1313","FR","R/R","S/+"
"L1317","Ye","r/r","s/s"
"L1325","Ye","r/r","s/s"
"L1330","Ye","r/r","s/s"
"L1351","WO","R/r","s/s"
"L1357","Ye","r/r","s/s"
"L1359","WR","R/r","S/+"
"L1361","WR","R/r","S/+"
"L1362","FR","R/R","S/+"
"L1363","Ye","r/r","s/s"
"L1365","FR","R/R","S/+"
"L1368","FR","R/R","S/+"
"K1574","FR","R/R","S/+"
"L1427","FR","R/R","S/+"
"L1428","FR","R/R","S/+"
"L1449","FR","R/R","S/+"
"K1898","FR","R/R","S/+"
"L1451","FR","R/R","S/+"
"L1454","FR","R/R","S/+"
"L1486","WO","R/r","s/s"
"L1492","FO","R/R","s/s"
"L1555","FR","R/R","S/+"
"K1988","FR","R/R","S/+"
"L1581","Ye","r/r","s/s"
"L1596",NA,NA,NA
"L1597","FR","R/R","S/+"
"L1608","FR","R/R","S/+"
"L1613","Ye","r/r","s/s"
"L1615","Ye","r/r","s/s"
"L1617","Ye","r/r","s/s"
"L1624","WO","R/r","s/s"
"L1628","WO","R/r","s/s"
"L1632","FR","R/R","S/+"
"L1639","FR","R/R","S/+"
"L1642","FO","R/R","s/s"
"K0148","FO","R/R","s/s"
"L1666","FR","R/R","S/+"
"L1667","FR","R/R","S/+"
"L1680",NA,NA,NA
"L1691","FR","R/R","S/+"
"L1692","WR","R/r","S/+"
"L1698","FR","R/R","S/+"
"L1730","FR","R/R","S/+"
"L1733",NA,NA,NA
"L1745","Ye","r/r","s/s"
"L1764","WO","R/r","s/s"
"L1766","Ye","r/r","s/s"
"L1772","Ye","r/r","s/s"
"L1777","Ye","r/r","s/s"
"L1830","Ye","r/r","s/s"
"L1847","WR","R/r","S/+"
"L1856","FO","R/R","s/s"
"L1863",NA,NA,NA
"L1868",NA,NA,NA
"L1869","Wh","r/r","S/+"
"L1872","FO","R/R","s/s"
"L1882","WR","R/r","S/+"
"L1883","Wh","r/r","S/+"
"L1890","WR","R/r","S/+"
"L1892","FR","R/R","S/+"
"L1895","FR","R/R","S/+"
"L1910",NA,NA,NA
"L1912","WO","R/r","s/s"
"L1914","Ye","r/r","s/s"
"L1919","Ye","r/r","s/s"
"M0004","Ye","r/r","s/s"
"K1768","FR","R/R","S/+"
"M0007","WR","R/r","S/+"
"M0009","FR","R/R","S/+"
"M0011","FO","R/R","s/s"
"K2036","FR","R/R","S/+"
"M0013","WR","R/r","S/+"
"M0015","Wh","r/r","S/+"
"M0016","FR","R/R","S/+"
"M0017","WO","R/r","s/s"
"M0019","FR","R/R","S/+"
"M0021","WO","R/r","s/s"
"M0022","FO","R/R","s/s"
"M0027","WO","R/r","s/s"
"M0028","FR","R/R","S/+"
"M0030","WO","R/r","s/s"
"M0032","WR","R/r","S/+"
"M0033",NA,NA,NA
"M0034","Ye","r/r","s/s"
"M0036","FR","R/R","S/+"
"M0037",NA,NA,NA
"M0038","Ye","r/r","s/s"
"M0041","FR","R/R","S/+"
"M0042","FR","R/R","S/+"
"M0043","FO","R/R","s/s"
"M0045","WO","R/r","s/s"
"M0046","Ye","r/r","s/s"
"M0048","WO","R/r","s/s"
"M0049","WR","R/r","S/+"
